Year,Period,State,ANSI,Affected by,% of Impact,state_code
2021,JAN THRU MAR,Alabama,1,Tuberculosis,1.8,AL
2021,JAN THRU MAR,Alabama,1,Other,3.1,AL
2021,JAN THRU MAR,Alabama,1,Malaria,0.3,AL
2021,JAN THRU MAR,Alabama,1,Viral fever,22.7,AL
2021,JAN THRU MAR,Alabama,1,Unknown,9,AL
2021,JAN THRU MAR,Alabama,1,Covid,27.2,AL
2020,JAN THRU MAR,Alabama,1,Tuberculosis,1.9,AL
2020,JAN THRU MAR,Alabama,1,Other,8.6,AL
2020,JAN THRU MAR,Alabama,1,Malaria,14.9,AL
2020,JAN THRU MAR,Alabama,1,Viral fever,30.2,AL
2020,JAN THRU MAR,Alabama,1,Unknown,4.5,AL
2020,JAN THRU MAR,Alabama,1,Covid,29.2,AL
2020,APR THRU JUN,Alabama,1,Tuberculosis,1.3,AL
2020,APR THRU JUN,Alabama,1,Other,9.4,AL
2020,APR THRU JUN,Alabama,1,Malaria,14.4,AL
2020,APR THRU JUN,Alabama,1,Viral fever,27.3,AL
2020,APR THRU JUN,Alabama,1,Unknown,2.1,AL
2020,APR THRU JUN,Alabama,1,Covid,25.2,AL
2020,JUL THRU SEP,Alabama,1,Tuberculosis,0.7,AL
2020,JUL THRU SEP,Alabama,1,Other,7.8,AL
2020,JUL THRU SEP,Alabama,1,Malaria,14.6,AL
2020,JUL THRU SEP,Alabama,1,Viral fever,69.4,AL
2020,JUL THRU SEP,Alabama,1,Unknown,6.8,AL
2020,JUL THRU SEP,Alabama,1,Covid,77.5,AL
2020,OCT THRU DEC,Alabama,1,Tuberculosis,1.3,AL
2020,OCT THRU DEC,Alabama,1,Other,3.4,AL
2020,OCT THRU DEC,Alabama,1,Malaria,1.5,AL
2020,OCT THRU DEC,Alabama,1,Viral fever,20.5,AL
2020,OCT THRU DEC,Alabama,1,Unknown,7.5,AL
2020,OCT THRU DEC,Alabama,1,Covid,20.6,AL
2019,JAN THRU MAR,Alabama,1,Tuberculosis,0.2,AL
2019,JAN THRU MAR,Alabama,1,Other,6.7,AL
2019,JAN THRU MAR,Alabama,1,Malaria,3.2,AL
2019,JAN THRU MAR,Alabama,1,Viral fever,9.8,AL
2019,JAN THRU MAR,Alabama,1,Unknown,9.3,AL
2019,JAN THRU MAR,Alabama,1,Covid,19.9,AL
2019,APR THRU JUN,Alabama,1,Tuberculosis,0,AL
2019,APR THRU JUN,Alabama,1,Other,9.4,AL
2019,APR THRU JUN,Alabama,1,Malaria,4.2,AL
2019,APR THRU JUN,Alabama,1,Viral fever,13.6,AL
2019,APR THRU JUN,Alabama,1,Unknown,5.3,AL
2019,APR THRU JUN,Alabama,1,Covid,17.9,AL
2019,JUL THRU SEP,Alabama,1,Tuberculosis,0,AL
2019,JUL THRU SEP,Alabama,1,Other,7.5,AL
2019,JUL THRU SEP,Alabama,1,Malaria,35.4,AL
2019,JUL THRU SEP,Alabama,1,Viral fever,22.1,AL
2019,JUL THRU SEP,Alabama,1,Unknown,3.9,AL
2019,JUL THRU SEP,Alabama,1,Covid,69.5,AL
2019,OCT THRU DEC,Alabama,1,Tuberculosis,8.8,AL
2019,OCT THRU DEC,Alabama,1,Other,1.7,AL
2019,OCT THRU DEC,Alabama,1,Malaria,9.5,AL
2019,OCT THRU DEC,Alabama,1,Viral fever,10.1,AL
2019,OCT THRU DEC,Alabama,1,Unknown,5.2,AL
2019,OCT THRU DEC,Alabama,1,Covid,22.3,AL
2018,JAN THRU MAR,Alabama,1,Tuberculosis,4.3,AL
2018,JAN THRU MAR,Alabama,1,Other,2.4,AL
2018,JAN THRU MAR,Alabama,1,Malaria,8.1,AL
2018,JAN THRU MAR,Alabama,1,Viral fever,22,AL
2018,JAN THRU MAR,Alabama,1,Unknown,11.3,AL
2018,JAN THRU MAR,Alabama,1,Covid,24.2,AL
2018,APR THRU JUN,Alabama,1,Tuberculosis,0.3,AL
2018,APR THRU JUN,Alabama,1,Other,4.8,AL
2018,APR THRU JUN,Alabama,1,Malaria,1.7,AL
2018,APR THRU JUN,Alabama,1,Viral fever,8.2,AL
2018,APR THRU JUN,Alabama,1,Unknown,5.4,AL
2018,APR THRU JUN,Alabama,1,Covid,9.6,AL
2018,JUL THRU SEP,Alabama,1,Tuberculosis,0,AL
2018,JUL THRU SEP,Alabama,1,Other,3.2,AL
2018,JUL THRU SEP,Alabama,1,Malaria,3.8,AL
2018,JUL THRU SEP,Alabama,1,Viral fever,42,AL
2018,JUL THRU SEP,Alabama,1,Unknown,13.8,AL
2018,JUL THRU SEP,Alabama,1,Covid,11.7,AL
2018,OCT THRU DEC,Alabama,1,Tuberculosis,0.2,AL
2018,OCT THRU DEC,Alabama,1,Other,6.7,AL
2018,OCT THRU DEC,Alabama,1,Malaria,2.4,AL
2018,OCT THRU DEC,Alabama,1,Viral fever,9.9,AL
2018,OCT THRU DEC,Alabama,1,Unknown,3.3,AL
2018,OCT THRU DEC,Alabama,1,Covid,12.3,AL
2017,JAN THRU MAR,Alabama,1,Tuberculosis,0,AL
2017,JAN THRU MAR,Alabama,1,Other,9.1,AL
2017,JAN THRU MAR,Alabama,1,Malaria,2.2,AL
2017,JAN THRU MAR,Alabama,1,Viral fever,5.4,AL
2017,JAN THRU MAR,Alabama,1,Unknown,9.4,AL
2017,JAN THRU MAR,Alabama,1,Covid,10,AL
2017,APR THRU JUN,Alabama,1,Tuberculosis,0,AL
2017,APR THRU JUN,Alabama,1,Other,3.2,AL
2017,APR THRU JUN,Alabama,1,Malaria,2.3,AL
2017,APR THRU JUN,Alabama,1,Viral fever,42.5,AL
2017,APR THRU JUN,Alabama,1,Unknown,4.1,AL
2017,APR THRU JUN,Alabama,1,Covid,16.7,AL
2017,JUL THRU SEP,Alabama,1,Tuberculosis,0,AL
2017,JUL THRU SEP,Alabama,1,Other,2.2,AL
2017,JUL THRU SEP,Alabama,1,Malaria,2.6,AL
2017,JUL THRU SEP,Alabama,1,Viral fever,70.6,AL
2017,JUL THRU SEP,Alabama,1,Unknown,17.7,AL
2017,JUL THRU SEP,Alabama,1,Covid,63.1,AL
2017,OCT THRU DEC,Alabama,1,Tuberculosis,0.2,AL
2017,OCT THRU DEC,Alabama,1,Other,2.8,AL
2017,OCT THRU DEC,Alabama,1,Malaria,0.2,AL
2017,OCT THRU DEC,Alabama,1,Viral fever,6.4,AL
2017,OCT THRU DEC,Alabama,1,Unknown,1.9,AL
2017,OCT THRU DEC,Alabama,1,Covid,3.1,AL
2021,JAN THRU MAR,Arizona,4,Tuberculosis,6.5,AZ
2021,JAN THRU MAR,Arizona,4,Other,8.4,AZ
